movieId,title,genres,movieId_mapped
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,2.0
2,Jumanji (1995),Adventure|Children|Fantasy,3.0
3,Grumpier Old Men (1995),Comedy|Romance,4.0
4,Waiting to Exhale (1995),Comedy|Drama|Romance,5.0
5,Father of the Bride Part II (1995),Comedy,6.0
6,Heat (1995),Action|Crime|Thriller,7.0
7,Sabrina (1995),Comedy|Romance,8.0
8,Tom and Huck (1995),Adventure|Children,9.0
9,Sudden Death (1995),Action,10.0
10,GoldenEye (1995),Action|Adventure|Thriller,11.0
11,"American President, The (1995)",Comedy|Drama|Romance,12.0
12,Dracula: Dead and Loving It (1995),Comedy|Horror,13.0
13,Balto (1995),Adventure|Animation|Children,14.0
14,Nixon (1995),Drama,15.0
15,Cutthroat Island (1995),Action|Adventure|Romance,16.0
16,Casino (1995),Crime|Drama,17.0
17,Sense and Sensibility (1995),Drama|Romance,18.0
18,Four Rooms (1995),Comedy,19.0
19,Ace Ventura: When Nature Calls (1995),Comedy,20.0
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,21.0
21,Get Shorty (1995),Comedy|Crime|Thriller,22.0
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,23.0
23,Assassins (1995),Action|Crime|Thriller,24.0
24,Powder (1995),Drama|Sci-Fi,25.0
25,Leaving Las Vegas (1995),Drama|Romance,26.0
26,Othello (1995),Drama,27.0
27,Now and Then (1995),Children|Drama,28.0
28,Persuasion (1995),Drama|Romance,29.0
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,30.0
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,31.0
31,Dangerous Minds (1995),Drama,32.0
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,33.0
34,Babe (1995),Children|Drama,34.0
36,Dead Man Walking (1995),Crime|Drama,35.0
38,It Takes Two (1995),Children|Comedy,36.0
39,Clueless (1995),Comedy|Romance,37.0
40,"Cry, the Beloved Country (1995)",Drama,38.0
41,Richard III (1995),Drama|War,39.0
42,Dead Presidents (1995),Action|Crime|Drama,40.0
43,Restoration (1995),Drama,41.0
44,Mortal Kombat (1995),Action|Adventure|Fantasy,42.0
45,To Die For (1995),Comedy|Drama|Thriller,43.0
46,How to Make an American Quilt (1995),Drama|Romance,44.0
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,45.0
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,46.0
49,When Night Is Falling (1995),Drama|Romance,47.0
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,48.0
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,49.0
53,Lamerica (1994),Adventure|Drama,50.0
54,"Big Green, The (1995)",Children|Comedy,51.0
55,Georgia (1995),Drama,52.0
57,Home for the Holidays (1995),Drama,53.0
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,54.0
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,55.0
61,Eye for an Eye (1996),Drama|Thriller,56.0
62,Mr. Holland's Opus (1995),Drama,57.0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,58.0
64,Two if by Sea (1996),Comedy|Romance,59.0
65,Bio-Dome (1996),Comedy,60.0
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,61.0
68,French Twist (Gazon maudit) (1995),Comedy|Romance,62.0
69,Friday (1995),Comedy,63.0
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,64.0
71,Fair Game (1995),Action,65.0
72,Kicking and Screaming (1995),Comedy|Drama,66.0
73,"Misérables, Les (1995)",Drama|War,67.0
74,Bed of Roses (1996),Drama|Romance,68.0
75,Big Bully (1996),Comedy|Drama,69.0
76,Screamers (1995),Action|Sci-Fi|Thriller,70.0
77,Nico Icon (1995),Documentary,71.0
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,72.0
79,"Juror, The (1996)",Drama|Thriller,73.0
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,74.0
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,75.0
82,Antonia's Line (Antonia) (1995),Comedy|Drama,76.0
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,77.0
85,Angels and Insects (1995),Drama|Romance,78.0
86,White Squall (1996),Action|Adventure|Drama,79.0
87,Dunston Checks In (1996),Children|Comedy,80.0
88,Black Sheep (1996),Comedy,81.0
89,Nick of Time (1995),Action|Thriller,82.0
92,Mary Reilly (1996),Drama|Horror|Thriller,83.0
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,84.0
94,Beautiful Girls (1996),Comedy|Drama|Romance,85.0
95,Broken Arrow (1996),Action|Adventure|Thriller,86.0
96,In the Bleak Midwinter (1995),Comedy|Drama,87.0
97,"Hate (Haine, La) (1995)",Crime|Drama,88.0
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,89.0
100,City Hall (1996),Drama|Thriller,90.0
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,91.0
102,Mr. Wrong (1996),Comedy,92.0
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,93.0
104,Happy Gilmore (1996),Comedy,94.0
105,"Bridges of Madison County, The (1995)",Drama|Romance,95.0
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,96.0
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,97.0
108,Catwalk (1996),Documentary,98.0
110,Braveheart (1995),Action|Drama|War,99.0
111,Taxi Driver (1976),Crime|Drama|Thriller,100.0
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,101.0
113,Before and After (1996),Drama|Mystery,102.0
116,Anne Frank Remembered (1995),Documentary,103.0
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,104.0
118,If Lucy Fell (1996),Comedy|Romance,105.0
119,"Steal Big, Steal Little (1995)",Comedy,106.0
121,"Boys of St. Vincent, The (1992)",Drama,107.0
122,Boomerang (1992),Comedy|Romance,108.0
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,109.0
125,Flirting With Disaster (1996),Comedy,110.0
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,111.0
128,Jupiter's Wife (1994),Documentary,112.0
129,Pie in the Sky (1996),Comedy|Romance,113.0
132,Jade (1995),Thriller,114.0
135,Down Periscope (1996),Comedy,115.0
137,Man of the Year (1995),Documentary,116.0
140,Up Close and Personal (1996),Drama|Romance,117.0
141,"Birdcage, The (1996)",Comedy,118.0
144,"Brothers McMullen, The (1995)",Comedy,119.0
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,120.0
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,121.0
147,"Basketball Diaries, The (1995)",Drama,122.0
148,"Awfully Big Adventure, An (1995)",Drama,123.0
149,Amateur (1994),Crime|Drama|Thriller,124.0
150,Apollo 13 (1995),Adventure|Drama|IMAX,125.0
151,Rob Roy (1995),Action|Drama|Romance|War,126.0
152,"Addiction, The (1995)",Drama|Horror,127.0
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,128.0
154,Beauty of the Day (Belle de jour) (1967),Drama,129.0
155,Beyond Rangoon (1995),Adventure|Drama|War,130.0
156,Blue in the Face (1995),Comedy|Drama,131.0
157,Canadian Bacon (1995),Comedy|War,132.0
158,Casper (1995),Adventure|Children,133.0
159,Clockers (1995),Crime|Drama|Mystery,134.0
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,135.0
161,Crimson Tide (1995),Drama|Thriller|War,136.0
162,Crumb (1994),Documentary,137.0
163,Desperado (1995),Action|Romance|Western,138.0
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,139.0
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,140.0
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,141.0
168,First Knight (1995),Action|Drama|Romance,142.0
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,143.0
170,Hackers (1995),Action|Adventure|Crime|Thriller,144.0
171,Jeffrey (1995),Comedy|Drama,145.0
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,146.0
173,Judge Dredd (1995),Action|Crime|Sci-Fi,147.0
174,Jury Duty (1995),Comedy,148.0
175,Kids (1995),Drama,149.0
176,Living in Oblivion (1995),Comedy,150.0
